TimeStamp,score
2021-04-27 00:25:37.497,64
2021-04-27 00:35:30.305,69
2021-04-27 00:45:55.311,67
2021-04-27 00:56:07.107,68
2021-04-27 01:02:09.360,75
2021-04-27 01:07:10.382,73
2021-04-27 01:12:26.326,76
2021-04-27 01:17:27.307,83
2021-04-27 01:22:28.320,80
2021-04-27 01:27:29.348,73
2021-04-27 01:32:37.278,72
2021-04-27 01:37:38.273,75
2021-04-27 01:42:50.290,72
2021-04-27 01:48:02.278,60
2021-04-27 01:53:03.260,57
2021-04-27 01:58:04.265,57
2021-04-27 02:03:06.324,56
2021-04-27 02:08:10.319,69
2021-04-27 02:13:19.283,72
2021-04-27 02:18:20.294,70
2021-04-27 02:23:22.353,75
2021-04-27 02:28:23.292,71
2021-04-27 02:33:30.264,69
2021-04-27 02:38:42.311,71
2021-04-27 02:43:43.266,74
2021-04-27 02:48:44.292,74
2021-04-27 02:53:45.281,70
2021-04-27 02:58:49.287,75
2021-04-27 03:03:51.325,74
2021-04-27 03:09:04.267,77
2021-04-27 03:14:18.297,73
2021-04-27 03:19:35.211,71
2021-04-27 03:24:36.258,72
2021-04-27 03:29:40.202,72
2021-04-27 03:34:49.246,70
2021-04-27 03:40:00.261,73
2021-04-27 03:45:01.247,71
2021-04-27 03:50:02.258,71
2021-04-27 03:55:19.238,72
2021-04-27 04:00:20.215,74
2021-04-27 04:05:31.239,67
2021-04-27 04:10:48.211,72
2021-04-27 04:15:50.217,74
2021-04-27 04:21:02.227,70
2021-04-27 04:26:03.226,73
2021-04-27 04:31:05.257,74
2021-04-27 04:36:09.234,63
2021-04-27 04:41:26.321,63
2021-04-27 04:46:33.229,60
2021-04-27 04:51:38.234,63
2021-04-27 04:56:39.233,65
2021-04-27 05:01:42.218,62
2021-04-27 05:06:44.233,66
2021-04-27 05:11:49.262,62
2021-04-27 05:17:00.177,66
2021-04-27 05:22:01.195,62
2021-04-27 05:27:17.202,72
2021-04-27 05:32:18.230,68
2021-04-27 05:37:23.215,77
2021-04-27 05:42:24.229,69
2021-04-27 05:47:25.185,71
2021-04-27 05:52:26.163,72
2021-04-27 05:57:34.179,74
2021-04-27 06:02:35.228,69
2021-04-27 06:07:48.159,62
2021-04-27 06:13:06.220,70
2021-04-27 06:18:07.183,66
2021-04-27 06:23:14.163,58
2021-04-27 06:28:15.183,58
2021-04-27 06:33:16.160,66
2021-04-27 06:38:17.210,69
2021-04-27 06:43:18.198,67
2021-04-27 06:48:30.175,66
2021-04-27 06:53:35.182,66
2021-04-27 06:58:36.199,70
2021-04-27 07:03:37.161,66
